Microorganismo,Bacteria,Gram,Morfología,Respiración,Motilidad,Patógena,Fermenta lactosa,Flagelos,Esporas,Fermenta glucosa,Catalasa,Oxidasa,Hifa,tamano,Antibiotico,Comestible,tipo_celula,Medicinal,Toxico,Celula,Parasito,Saprofito,Patogeno,Mat_gen,Cadena ,Envoltura,Vectores,Huesped,Retrotranscriptasa,Vacuna,Transmision,Genero
bacteria,Streptococcus,Positiva,Coco,Anaerobio,No,Sí,No,No,No,Sí,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,Lactobacillus casei,Positiva,Bacilo,Anaerobio,No,No,Sí,No,No,Sí,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,Staphylococcus aureus,Positiva,Coco,Anaerobio,No,Sí,No,No,No,Sí,Sí,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,Moraxella catarrhalis,Negativa,Coco,Aerobio,No,Sí,No,No,No,No,Sí,Sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,Vibrio cholerae,Negativa,Bacilo,Anaerobio,Sí,Sí,No,Sí,No,Sí,Sí,Sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,Bacillus anthracis,Positiva,Bacilo,Aerobio,No,Sí,No,Sí,Sí,Sí,Sí,Sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,Salmonella enterica,Negativa,Bacilo,Anaerobio,Sí,Sí,No,Sí,No,Sí,Sí,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,Escherichia coli,Negativa,Bacilo,Anaerobio,Sí,Sí,Sí,Sí,No,Sí,Sí,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,Clostridium botulinum,Positiva,Bacilo,Anaerobio,No,Sí,No,No,Sí,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,Listeria monocytogenes,Positiva,Bacilo,Anaerobio,Sí,Sí,No,Sí,No,Sí,Sí,Sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,Bacillus thuringiensis,Positiva,Bacilo,Aerobio,No,No,No,Sí,Sí,Sí,Sí,Sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,Vibrio fischeri,Negativa,Bacilo,Anaerobio,Sí,No,No,Sí,No,Sí,Sí,Sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,Azotobacter chroococcum,Negativa,Bacilo,Aerobio,Sí,No,No,Sí,No,No,Sí,Sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,Clostridium tetani,Positiva,Bacilo,Anaerobio,No,Sí,No,No,Sí,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,Bifidobacterium,Positiva,Bacilo,Anaerobio,No,No,No,No,No,Sí,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,Neisseria gonorrhoeae,Negativa,Coco,Aerobio,No,Sí,No,No,No,No,No,Sí,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,Klebsiella pneumoniae,Negativa,Bacilo,Anaerobio,No,Sí,Sí,No,No,Sí,Sí,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,Lactobacillus acidophilus,Positiva,Bacilo,Anaerobio,No,No,Sí,No,No,Sí,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacteria,Bacillus subtilis,Positiva,Bacilo,Aerobio,Sí,No,No,Sí,Sí,Sí,Sí,Sí,no_septada,microscopico,no,no,levadura,no,no,unicelular,no,no,si,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongo,aspergillus_fumigatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_septada,microscopico,no,no,hifa,no,no,multicelular,no,si,si,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongo,penicillium_chrysogenum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,septada,microscopico,si,no,hifa,no,no,multicelular,no,si,si,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongo,aspergillus_niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_septada,microscopico,no,no,hifa,no,no,multicelular,no,si,si,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongo,rhizopus_stolonifer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_septada,microscopico,no,no,hifa,no,no,multicelular,si,si,si,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongo,claviceps_purpurea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,septada,microscopico,no,no,hifa,no,si,multicelular,si,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongo,cryptococcus_neoformans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no_septada,microscopico,no,no,levadura,no,no,unicelular,no,no,si,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongo,microsporum_canis,NA,NA,NA,NA,NA,NA,si,NA,NA,NA,NA,septada,microscopico,no,no,hifa,no,no,multicelular,no,no,si,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongo,lycoperdon_pertulatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,septada,macroscopico,no,si,hifa,si,no,multicelular,no,si,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongo,russula_emetica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,septada,macroscopico,no,no,hifa,no,si,multicelular,no,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
hongo,lactarius_indigo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,septada,macroscopico,no,si,hifa,no,no,multicelular,no,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA
